Date and UTC Time,MMSI,Lat,Lon,SOG,HDG,COG,ROT
03-08-19 09:28:08, 367440770, 50.873437, -1.309747, 5.5, 192.0, 203.8, 0.0
03-08-19 09:28:32, 250004806, 50.844895, -1.311902, 5.2, 201.2, 201.2, 0.0
03-08-19 09:28:38, 367440770, 50.872690, -1.309943, 5.5, 164.0, 173.5, 0.0
03-08-19 09:29:03, 250004806, 50.844175, -1.312148, 5.1, 188.8, 188.8, 0.0
03-08-19 09:29:32, 250004806, 50.843488, -1.312357, 5.1, 188.3, 188.3, 0.0
03-08-19 09:29:38, 367440770, 50.871257, -1.309003, 5.9, 148.0, 152.6, 0.0
03-08-19 09:30:02, 250004806, 50.842772, -1.312457, 5.0, 178.6, 178.6, 0.0
03-08-19 09:30:09, 367440770, 50.870507, -1.308432, 6.0, 151.0, 156.8, 0.0
03-08-19 09:30:31, 250004806, 50.842082, -1.312452, 4.8, 177.6, 177.6, 0.0
03-08-19 09:30:39, 367440770, 50.869710, -1.307905, 5.9, 152.0, 157.3, 0.0
03-08-19 09:31:02, 250004806, 50.841378, -1.312312, 4.8, 174.9, 174.9, 0.0
03-08-19 09:31:09, 367440770, 50.868913, -1.307525, 5.8, 166.0, 174.3, 0.0
03-08-19 09:31:34, 250004806, 50.840662, -1.312228, 5.0, 174.3, 174.3, 0.0
03-08-19 09:31:40, 367440770, 50.868067, -1.307585, 5.8, 176.0, 187.0, 0.0
03-08-19 09:32:02, 250004806, 50.840008, -1.312170, 4.9, 179.4, 179.4, 0.0
03-08-19 09:32:08, 367440770, 50.867300, -1.307810, 6.0, 187.0, 197.3, 0.0
03-08-19 09:32:32, 250004806, 50.839302, -1.312073, 4.9, 178.2, 178.2, 0.0
03-08-19 09:32:38, 367440770, 50.866543, -1.308260, 6.0, 193.0, 201.2, 0.0
03-08-19 09:33:02, 250004806, 50.838630, -1.311943, 4.9, 161.0, 161.0, 0.0
03-08-19 09:33:11, 367440770, 50.865697, -1.308753, 5.8, 189.0, 200.0, 0.0
03-08-19 09:33:33, 250004806, 50.837988, -1.311652, 4.3, 160.4, 160.4, 0.0
03-08-19 09:33:38, 367440770, 50.864967, -1.309158, 5.9, 187.0, 198.1, 0.0
03-08-19 09:34:02, 250004806, 50.837398, -1.311338, 4.7, 159.8, 159.8, 0.0
03-08-19 09:34:08, 367440770, 50.864177, -1.309582, 5.9, 187.0, 198.4, 0.0
03-08-19 09:34:32, 250004806, 50.836733, -1.311073, 5.0, 169.6, 169.6, 0.0
03-08-19 09:34:39, 367440770, 50.863353, -1.309963, 5.9, 185.0, 195.6, 0.0
03-08-19 09:35:02, 250004806, 50.836043, -1.310787, 5.1, 165.3, 165.3, 0.0
03-08-19 09:35:08, 367440770, 50.862607, -1.310272, 6.0, 185.0, 195.9, 0.0
03-08-19 09:35:32, 250004806, 50.835313, -1.310587, 5.0, 170.4, 170.4, 0.0
03-08-19 09:35:38, 367440770, 50.861777, -1.310605, 5.8, 182.0, 192.7, 0.0
03-08-19 09:36:02, 250004806, 50.834650, -1.310318, 4.8, 159.7, 159.7, 0.0
03-08-19 09:36:08, 367440770, 50.860977, -1.310878, 5.8, 181.0, 191.5, 0.0
03-08-19 09:36:33, 250004806, 50.833960, -1.309928, 5.3, 156.9, 156.9, 0.0
03-08-19 09:36:38, 367440770, 50.860180, -1.311123, 5.7, 176.0, 188.8, 0.0
03-08-19 09:37:02, 250004806, 50.833392, -1.309345, 5.1, 142.1, 142.1, 0.0
03-08-19 09:37:08, 367440770, 50.859390, -1.311180, 5.6, 171.0, 180.1, 0.0
03-08-19 09:37:32, 250004806, 50.832805, -1.308770, 5.0, 152.0, 152.0, 0.0
03-08-19 09:37:39, 367440770, 50.858577, -1.311153, 5.6, 167.0, 177.1, 0.0
03-08-19 09:38:02, 250004806, 50.832142, -1.308278, 4.9, 152.3, 152.3, 0.0
03-08-19 09:38:09, 367440770, 50.857787, -1.311020, 5.7, 160.0, 167.4, 0.0
03-08-19 09:38:33, 250004806, 50.831537, -1.307700, 5.0, 153.6, 153.6, 0.0
03-08-19 09:38:39, 367440770, 50.857087, -1.310800, 5.2, 160.0, 167.7, 0.0
03-08-19 09:39:02, 250004806, 50.830897, -1.307302, 4.9, 150.2, 150.2, 0.0
03-08-19 09:39:08, 367440770, 50.856330, -1.310550, 5.5, 157.0, 163.7, 0.0
03-08-19 09:39:33, 250004806, 50.830273, -1.306728, 4.8, 151.7, 151.7, 0.0
03-08-19 09:39:39, 367440770, 50.855543, -1.310235, 5.6, 161.0, 169.0, 0.0
03-08-19 09:40:08, 367440770, 50.854827, -1.310010, 5.7, 161.0, 168.7, 0.0
03-08-19 09:40:31, 250004806, 50.829110, -1.305645, 4.8, 150.2, 150.2, 0.0
03-08-19 09:40:38, 367440770, 50.854043, -1.309687, 5.6, 157.0, 163.7, 0.0
03-08-19 09:41:02, 250004806, 50.828517, -1.305123, 5.0, 155.5, 155.5, 0.0
03-08-19 09:41:08, 367440770, 50.853297, -1.309355, 5.7, 156.0, 162.2, 0.0
03-08-19 09:41:32, 250004806, 50.827885, -1.304668, 4.9, 151.1, 151.1, 0.0
03-08-19 09:41:39, 367440770, 50.852490, -1.308975, 5.6, 157.0, 165.2, 0.0
03-08-19 09:42:01, 250004806, 50.827277, -1.304162, 4.7, 150.4, 150.4, 0.0
03-08-19 09:42:08, 367440770, 50.851783, -1.308683, 5.6, 158.0, 163.2, 0.0
03-08-19 09:42:33, 250004806, 50.826713, -1.303620, 4.7, 147.5, 147.5, 0.0
03-08-19 09:42:38, 367440770, 50.851010, -1.308365, 5.4, 162.0, 169.0, 0.0
03-08-19 09:43:02, 250004806, 50.826150, -1.303127, 4.7, 152.1, 152.1, 0.0
03-08-19 09:43:09, 367440770, 50.850210, -1.308387, 5.9, 178.0, 189.5, 0.0
03-08-19 09:43:32, 250004806, 50.825552, -1.302665, 4.3, 154.4, 154.4, 0.0
03-08-19 09:43:38, 367440770, 50.849407, -1.308663, 5.9, 184.0, 195.4, 0.0
03-08-19 09:44:03, 250004806, 50.824945, -1.302225, 4.8, 155.3, 155.3, 0.0
03-08-19 09:44:09, 367440770, 50.848610, -1.309128, 5.9, 194.0, 204.7, 0.0
03-08-19 09:44:32, 250004806, 50.824345, -1.301790, 4.8, 155.5, 155.5, 0.0
03-08-19 09:44:38, 367440770, 50.847867, -1.309637, 5.8, 195.0, 206.0, 0.0
03-08-19 09:45:02, 250004806, 50.823753, -1.301308, 4.6, 144.1, 144.1, 0.0
03-08-19 09:45:09, 367440770, 50.847103, -1.310153, 5.8, 190.0, 199.4, 0.0
03-08-19 09:45:31, 250004806, 50.823247, -1.300690, 4.7, 155.3, 155.3, 0.0
03-08-19 09:45:41, 367440770, 50.846280, -1.310628, 5.8, 189.0, 200.4, 0.0
